species_id,canonical,edge_origin,source_canonical,target_canonical,effect,source_types,mean_confidence,max_confidence,n_evidence_sentences,source_raw_examples,source_canonical_examples,semantic_cluster_ids,sentence_ids,evidence_quotes,assumption,expert_decision,expert_source_edit,expert_target_edit,expert_effect_edit,expert_notes
demo_001,Kickxia spuria,text_extracted,arable_margins,abundance,negative,disturbance,1.0,1.0,1,loss of open cultivated margins,arable_margins,disturbance_001,4,but loss of open cultivated margins remains a pressure.,,,,,,
demo_001,Kickxia spuria,text_extracted,calcareous_soil,abundance,positive,soil_substrate,1.0,1.0,1,light calcareous soils,calcareous_soil,soil_substrate_002,0,most often on light calcareous soils.,,,,,,
demo_001,Kickxia spuria,text_extracted,crop,habitat suitability,positive,land_use,1.0,1.0,1,crop,crop,land_use_001,1,It can persist where the crop is open and where cultivation creates bare ground for germination.,,,,,,
demo_001,Kickxia spuria,text_extracted,cultivation,habitat suitability,positive,disturbance,1.0,1.0,1,cultivation,cultivation,disturbance_002,1,It can persist where the crop is open and where cultivation creates bare ground for germination.,,,,,,
demo_001,Kickxia spuria,text_extracted,dense_vegetation,habitat suitability,negative,habitat_structure,1.0,1.0,1,dense competitive vegetation,dense_vegetation,habitat_structure_004,2,Dense competitive vegetation and intensive herbicide use reduce habitat suitability.,,,,,,
demo_001,Kickxia spuria,text_extracted,herbicide_use,habitat suitability,negative,management,1.0,1.0,1,intensive herbicide use,herbicide_use,management_002,2,Dense competitive vegetation and intensive herbicide use reduce habitat suitability.,,,,,,
demo_001,Kickxia spuria,text_extracted,southern_temperate,abundance,positive,climate,1.0,1.0,1,southern-temperate,southern_temperate,climate_002,5,A southern-temperate archaeophyte in Britain and the Channel Islands.,,,,,,
demo_002,Koenigia islandica,text_extracted,cool_upland_situations,habitat suitability,positive,habitat_structure,1.0,1.0,1,cool upland situations,cool_upland_situations,habitat_structure_003,0,in cool upland situations.,,,,,,
demo_002,Koenigia islandica,text_extracted,flourishing_conditions,habitat suitability,positive,topography,0.9,0.9,1,flourishing conditions,flourishing_conditions,topography_001,3,Small colonies may fluctuate between years.,,,,,,
demo_002,Koenigia islandica,text_extracted,reliable_moisture,habitat suitability,positive,hydrology,1.0,1.0,1,reliable moisture,reliable_moisture,hydrology_001,1,"It depends on short, open vegetation and reliable moisture.",,,,,,
demo_002,Koenigia islandica,text_extracted,short_vegetation,habitat suitability,positive,habitat_structure,1.0,1.0,1,"short, open vegetation",short_vegetation,habitat_structure_006,1,"It depends on short, open vegetation and reliable moisture.",,,,,,
