species_id,canonical,source_file,sentence_id,source_raw,source_canonical,source_type,target_canonical,effect,confidence,evidence_quote,extraction_method,llm_error,accepted_as_evidence,accepted_for_environmental_dag,validation_reasons,validation_warnings,semantic_cluster_id,semantic_cluster_label
demo_001,Kickxia spuria,synthetic_plant_atlas_style_accounts,5,southern-temperate,southern_temperate,climate,abundance,positive,1.0,A southern-temperate archaeophyte in Britain and the Channel Islands.,llm_transformers,,True,True,,,climate_002,southern_temperate
demo_002,Koenigia islandica,synthetic_plant_atlas_style_accounts,4,warmer drier summers,warmer_drier_summers,climate,habitat suitability,negative,1.0,warmer drier summers could increase stress on the shallow wet substrates used by the species.,llm_transformers,,True,True,,,climate_003,warmer_drier_summers
demo_002,Koenigia islandica,synthetic_plant_atlas_style_accounts,5,warmer drier summers,warmer_drier_summers,climate,habitat suitability,negative,1.0,warmer drier summers could increase stress on the shallow wet substrates used by the species.,llm_transformers,,True,True,,,climate_003,warmer_drier_summers
demo_003,Lagurus ovatus,synthetic_plant_atlas_style_accounts,4,severe winter cold,severe_winter_cold,climate,habitat suitability,negative,1.0,while severe winter cold may limit establishment inland,llm_transformers,,True,True,,,climate_001,severe_winter_cold
demo_005,Larix decidua,synthetic_plant_atlas_style_accounts,4,larch pathogens,larch_pathogens,disease_pathogen,abundance,negative,1.0,Disease pressure from larch pathogens and felling of infected plantations can reduce local abundance,llm_transformers,,True,True,,,disease_pathogen_001,larch_pathogens
demo_005,Larix decidua,synthetic_plant_atlas_style_accounts,5,larch pathogens,larch_pathogens,disease_pathogen,abundance,negative,0.7,Disease pressure from larch pathogens and felling of infected plantations can reduce local abundance,llm_transformers,,True,True,,,disease_pathogen_001,larch_pathogens
demo_001,Kickxia spuria,synthetic_plant_atlas_style_accounts,1,cultivation,cultivation,disturbance,habitat suitability,positive,1.0,It can persist where the crop is open and where cultivation creates bare ground for germination.,llm_transformers,,True,True,,,disturbance_002,cultivation
demo_001,Kickxia spuria,synthetic_plant_atlas_style_accounts,4,loss of open cultivated margins,arable_margins,disturbance,abundance,negative,1.0,but loss of open cultivated margins remains a pressure.,llm_transformers,,True,True,,,disturbance_001,arable_margins
demo_003,Lagurus ovatus,synthetic_plant_atlas_style_accounts,3,severe winter cold,severe_winter_cold,disturbance,population performance,negative,1.0,severe winter cold may limit establishment inland.,llm_transformers,,True,True,,,disturbance_005,severe_winter_cold
demo_003,Lagurus ovatus,synthetic_plant_atlas_style_accounts,5,severe winter cold,severe_winter_cold,disturbance,population performance,negative,1.0,while severe winter cold may limit establishment inland.,llm_transformers,,True,True,,,disturbance_005,severe_winter_cold
demo_003,Lagurus ovatus,synthetic_plant_atlas_style_accounts,5,seed supply,seed_supply,disturbance,population performance,positive,1.0,Continued seed supply from gardens and disturbed urban ground may support local spread.,llm_transformers,,True,True,,,disturbance_004,seed_supply
demo_005,Larix decidua,synthetic_plant_atlas_style_accounts,0,disturbed mineral soil,disturbed_mineral_soil,disturbance,abundance,positive,0.9,regenerates from seed on disturbed mineral soil,llm_transformers,,True,True,,,disturbance_003,disturbed_mineral_soil
demo_005,Larix decidua,synthetic_plant_atlas_style_accounts,3,soil disturbance,soil_disturbance,disturbance,abundance,positive,1.0,Natural regeneration can follow soil disturbance near planted trees.,llm_transformers,,True,True,,,disturbance_006,soil_disturbance
demo_001,Kickxia spuria,synthetic_plant_atlas_style_accounts,2,dense competitive vegetation,dense_vegetation,habitat_structure,habitat suitability,negative,1.0,Dense competitive vegetation and intensive herbicide use reduce habitat suitability.,llm_transformers,,True,True,,,habitat_structure_004,dense_vegetation
demo_002,Koenigia islandica,synthetic_plant_atlas_style_accounts,0,cool upland situations,cool_upland_situations,habitat_structure,habitat suitability,positive,1.0,in cool upland situations.,llm_transformers,,True,True,,,habitat_structure_003,cool_upland_situations
demo_002,Koenigia islandica,synthetic_plant_atlas_style_accounts,1,"short, open vegetation",short_vegetation,habitat_structure,habitat suitability,positive,1.0,"It depends on short, open vegetation and reliable moisture.",llm_transformers,,True,True,,,habitat_structure_006,short_vegetation
demo_003,Lagurus ovatus,synthetic_plant_atlas_style_accounts,0,bare sand,bare_sand,habitat_structure,habitat suitability,positive,1.0,"It is favored by bare sand and warm open microsites, and can also appear from garden escapes.",llm_transformers,,True,True,,,habitat_structure_001,bare_sand
demo_003,Lagurus ovatus,synthetic_plant_atlas_style_accounts,1,warm open microsites,warm_microsites,habitat_structure,habitat suitability,positive,1.0,is favoured by bare sand and warm open microsites,llm_transformers,,True,True,,,habitat_structure_008,warm_microsites
demo_003,Lagurus ovatus,synthetic_plant_atlas_style_accounts,2,closed dune grassland,closed_dune_grassland,habitat_structure,habitat suitability,negative,1.0,Closed dune grassland and lack of disturbance reduce the open ground needed for recruitment.,llm_transformers,,True,True,,,habitat_structure_002,closed_dune_grassland
demo_004,Lamium confertum,synthetic_plant_atlas_style_accounts,0,open soil,soil,habitat_structure,abundance,positive,1.0,requires open soil for germination,llm_transformers,,True,True,,,habitat_structure_007,soil
demo_004,Lamium confertum,synthetic_plant_atlas_style_accounts,3,lightly managed cultivated ground,managed_cultivated_ground,habitat_structure,abundance,negative,1.0,Declines are consistent with the loss of lightly managed cultivated ground.,llm_transformers,,True,True,,,habitat_structure_005,managed_cultivated_ground
demo_002,Koenigia islandica,synthetic_plant_atlas_style_accounts,1,reliable moisture,reliable_moisture,hydrology,habitat suitability,positive,1.0,"It depends on short, open vegetation and reliable moisture.",llm_transformers,,True,True,,,hydrology_001,reliable_moisture
demo_005,Larix decidua,synthetic_plant_atlas_style_accounts,2,dry sites and waterlogged soils,sites_waterlogged_soils,hydrology,habitat suitability,negative,1.0,Very dry sites and waterlogged soils are less suitable for establishment.,llm_transformers,,True,True,,,hydrology_002,sites_waterlogged_soils
demo_001,Kickxia spuria,synthetic_plant_atlas_style_accounts,1,crop,crop,land_use,habitat suitability,positive,1.0,It can persist where the crop is open and where cultivation creates bare ground for germination.,llm_transformers,,True,True,,,land_use_001,crop
demo_001,Kickxia spuria,synthetic_plant_atlas_style_accounts,2,intensive herbicide use,herbicide_use,management,habitat suitability,negative,1.0,Dense competitive vegetation and intensive herbicide use reduce habitat suitability.,llm_transformers,,True,True,,,management_002,herbicide_use
demo_004,Lamium confertum,synthetic_plant_atlas_style_accounts,2,modern weed control,modern_weed_control,management,abundance,negative,1.0,"Modern weed control, autumn-sown dense crops and reduced small-scale cultivation can lower the chance of plants reaching maturity.",llm_transformers,,True,True,,,management_003,modern_weed_control
demo_005,Larix decidua,synthetic_plant_atlas_style_accounts,4,continued planting,continued_planting,management,abundance,positive,1.0,although continued planting creates new seed sources in some landscapes,llm_transformers,,True,True,,,management_001,continued_planting
demo_001,Kickxia spuria,synthetic_plant_atlas_style_accounts,0,light calcareous soils,calcareous_soil,soil_substrate,abundance,positive,1.0,most often on light calcareous soils.,llm_transformers,,True,True,,,soil_substrate_002,calcareous_soil
demo_003,Lagurus ovatus,synthetic_plant_atlas_style_accounts,1,bare sand,bare_sand,soil_substrate,habitat suitability,positive,1.0,is favoured by bare sand and warm open microsites,llm_transformers,,True,True,,,soil_substrate_001,bare_sand
demo_004,Lamium confertum,synthetic_plant_atlas_style_accounts,1,open soil,soil,soil_substrate,habitat suitability,positive,1.0,It requires open soil for germination and is easily overlooked among other dead-nettles.,llm_transformers,,True,True,,,soil_substrate_005,soil
demo_005,Larix decidua,synthetic_plant_atlas_style_accounts,1,disturbed mineral soil,disturbed_mineral_soil,soil_substrate,habitat suitability,positive,1.0,regenerates from seed on disturbed mineral soil,llm_transformers,,True,True,,,soil_substrate_003,disturbed_mineral_soil
demo_005,Larix decidua,synthetic_plant_atlas_style_accounts,1,open rocky ground,rocky_ground,soil_substrate,habitat suitability,positive,1.0,"regenerates from seed on disturbed mineral soil, scree and open rocky ground",llm_transformers,,True,True,,,soil_substrate_004,rocky_ground
demo_002,Koenigia islandica,synthetic_plant_atlas_style_accounts,3,flourishing conditions,flourishing_conditions,topography,habitat suitability,positive,0.9,Small colonies may fluctuate between years.,llm_transformers,,True,True,,source_phrase_not_exactly_in_quote,topography_001,flourishing_conditions
