species_id,canonical,source_file,sentence_id,sentence,context_text
demo_001,Kickxia spuria,synthetic_plant_atlas_style_accounts,0,"A small annual of arable fields, open disturbed ground and sunny field edges, most often on light calcareous soils.","[CURRENT] A small annual of arable fields, open disturbed ground and sunny field edges, most often on light calcareous soils. [context_1] It can persist where the crop is open and where cultivation creates bare ground for germination."
demo_001,Kickxia spuria,synthetic_plant_atlas_style_accounts,1,It can persist where the crop is open and where cultivation creates bare ground for germination.,"[context_0] A small annual of arable fields, open disturbed ground and sunny field edges, most often on light calcareous soils. [CURRENT] It can persist where the crop is open and where cultivation creates bare ground for germination. [context_2] Dense competitive vegetation and intensive herbicide use reduce habitat suitability."
demo_001,Kickxia spuria,synthetic_plant_atlas_style_accounts,2,Dense competitive vegetation and intensive herbicide use reduce habitat suitability.,[context_1] It can persist where the crop is open and where cultivation creates bare ground for germination. [CURRENT] Dense competitive vegetation and intensive herbicide use reduce habitat suitability. [context_3] Local populations are most likely to be maintained where arable margins are managed for scarce plants.
demo_001,Kickxia spuria,synthetic_plant_atlas_style_accounts,3,Local populations are most likely to be maintained where arable margins are managed for scarce plants.,"[context_2] Dense competitive vegetation and intensive herbicide use reduce habitat suitability. [CURRENT] Local populations are most likely to be maintained where arable margins are managed for scarce plants. [context_4] Late-summer germination may help some plants escape early-season herbicide applications, but loss of open cultivated margins remains a pressure."
demo_001,Kickxia spuria,synthetic_plant_atlas_style_accounts,4,"Late-summer germination may help some plants escape early-season herbicide applications, but loss of open cultivated margins remains a pressure.","[context_3] Local populations are most likely to be maintained where arable margins are managed for scarce plants. [CURRENT] Late-summer germination may help some plants escape early-season herbicide applications, but loss of open cultivated margins remains a pressure. [context_5] A southern-temperate archaeophyte in Britain and the Channel Islands."
demo_001,Kickxia spuria,synthetic_plant_atlas_style_accounts,5,A southern-temperate archaeophyte in Britain and the Channel Islands.,"[context_4] Late-summer germination may help some plants escape early-season herbicide applications, but loss of open cultivated margins remains a pressure. [CURRENT] A southern-temperate archaeophyte in Britain and the Channel Islands."
demo_002,Koenigia islandica,synthetic_plant_atlas_style_accounts,0,"A tiny annual of wet gravelly flushes, basaltic seepages and open stony ground in cool upland situations.","[CURRENT] A tiny annual of wet gravelly flushes, basaltic seepages and open stony ground in cool upland situations. [context_1] It depends on short, open vegetation and reliable moisture."
demo_002,Koenigia islandica,synthetic_plant_atlas_style_accounts,1,"It depends on short, open vegetation and reliable moisture.","[context_0] A tiny annual of wet gravelly flushes, basaltic seepages and open stony ground in cool upland situations. [CURRENT] It depends on short, open vegetation and reliable moisture. [context_2] Drying of flushes, trampling that removes the fine substrate, and heavy competition from taller vegetation can reduce population performance."
demo_002,Koenigia islandica,synthetic_plant_atlas_style_accounts,2,"Drying of flushes, trampling that removes the fine substrate, and heavy competition from taller vegetation can reduce population performance.","[context_1] It depends on short, open vegetation and reliable moisture. [CURRENT] Drying of flushes, trampling that removes the fine substrate, and heavy competition from taller vegetation can reduce population performance. [context_3] Small colonies may fluctuate between years."
demo_002,Koenigia islandica,synthetic_plant_atlas_style_accounts,3,Small colonies may fluctuate between years.,"[context_2] Drying of flushes, trampling that removes the fine substrate, and heavy competition from taller vegetation can reduce population performance. [CURRENT] Small colonies may fluctuate between years. [context_4] Continued seepage, light disturbance and limited competition are likely to maintain habitat suitability, whereas warmer drier summers could increase stress on the shallow wet substrates used by the species."
